gamma,q,omega,r_a_bar,r_b_bar,r_a_minus_s,s_minus_r_b,r_avg,skew_a_minus_b
0.1,10,2.4200000000000004,76.48624742836519,,-23.51375257163481,,,
0.5,-10,60.5,101.3862943611199,101.28871403278103,1.3862943611198943,-1.28871403278103,101.33750419695046,0.09758032833886432
0.5,-9,60.5,100.77731597958356,100.70834362744122,0.7773159795835625,-0.7083436274412236,100.7428298035124,0.06897235214233888
0.5,-8,60.5,100.52202765073923,100.46722970236301,0.5220276507392327,-0.46722970236301364,100.49462867655112,0.0547979483762191
0.5,-7,60.5,100.37848399927705,100.33197027494852,0.37848399927705145,-0.3319702749485174,100.35522713711279,0.04651372432853407
0.5,-6,60.5,100.28463244436051,100.24339386995504,0.28463244436051127,-0.24339386995504242,100.26401315715778,0.04123857440546885
0.5,-5,60.5,100.21696128598813,100.17922431737938,0.21696128598813402,-0.17922431737937927,100.19809280168376,0.03773696860875475
0.5,-4,60.5,100.16447619647394,100.12907704227514,0.16447619647394163,-0.12907704227514216,100.14677661937455,0.035399154198799465
0.5,-3,60.5,100.12124924363287,100.08735012700532,0.12124924363287448,-0.08735012700532252,100.10429968531909,0.03389911662755196
0.5,-2,60.5,100.083694219871,100.05063561596857,0.08369421987100623,-0.05063561596857369,100.0671649179198,0.03305860390243254
0.5,-1,60.5,100.04938522518074,100.01659760562939,0.04938522518074251,-0.016597605629385725,100.03299141540506,0.032787619551356784
0.5,0,60.5,100.01646099827303,99.98340239437061,0.0164609982730326,0.016597605629385725,99.99993169632182,0.033058603902418326
0.5,1,60.5,99.98326350065896,99.94936438403143,-0.016736499341035938,0.05063561596857369,99.9663139423452,0.03389911662753775
0.5,2,60.5,99.94804902719348,99.91264987299468,-0.051950972806523055,0.08735012700532252,99.93034945009407,0.035399154198799465
0.5,3,60.5,99.90865992633363,99.87092295772486,-0.0913400736663732,0.12907704227514216,99.88979144202924,0.03773696860876896
0.5,4,60.5,99.8620142570261,99.82077568262062,-0.1379857429738962,0.17922431737937927,99.84139496982337,0.041238574405483064
0.5,5,60.5,99.80311985437349,99.75660613004496,-0.19688014562650835,0.24339386995504242,99.77986299220922,0.04651372432853407
0.5,6,60.5,99.7228276734277,99.66802972505148,-0.2771723265722983,0.3319702749485174,99.69542869923959,0.0547979483762191
0.5,7,60.5,99.60174264977933,99.53277029763699,-0.39825735022067477,0.46722970236301364,99.56725647370816,0.06897235214233888
0.5,8,60.5,99.38923670089764,99.29165637255878,-0.6107632991023593,0.7083436274412236,99.34044653672821,0.09758032833886432
