gamma,q,t,delta_a,delta_b,r,spread,spread_expected,spread_err,quote_mid,midpoint_err
0.1,5,1.0,0.6453852113757116,0.6453852113757116,100.0,1.2907704227514232,1.2907704227514234,2.220446049250313e-16,100.0,0.0
0.5,-5,0.0,11.575364144903562,-8.424635855096438,110.0,3.150728289807123,3.150728289807123,0.0,110.0,0.0
0.5,-5,0.25,8.825364144903562,-6.174635855096438,107.5,2.650728289807123,2.650728289807123,0.0,107.5,0.0
0.5,-5,0.5,6.075364144903562,-3.9246358550964384,105.0,2.150728289807123,2.150728289807123,0.0,105.0,0.0
0.5,-5,0.75,3.3253641449035616,-1.6746358550964384,102.5,1.6507282898071232,1.6507282898071234,2.220446049250313e-16,102.5,0.0
0.5,-5,1.0,0.5753641449035617,0.5753641449035617,100.0,1.1507282898071234,1.1507282898071234,0.0,100.0,0.0
0.5,-1,0.0,3.5753641449035616,-0.4246358550964383,102.0,3.150728289807123,3.150728289807123,0.0,102.0,0.0
0.5,-1,0.25,2.8253641449035616,-0.1746358550964383,101.5,2.650728289807123,2.650728289807123,0.0,101.5,0.0
0.5,-1,0.5,2.0753641449035616,0.07536414490356169,101.0,2.150728289807123,2.150728289807123,0.0,101.0,0.0
0.5,-1,0.75,1.3253641449035616,0.3253641449035617,100.5,1.6507282898071232,1.6507282898071234,2.220446049250313e-16,100.5,0.0
0.5,-1,1.0,0.5753641449035617,0.5753641449035617,100.0,1.1507282898071234,1.1507282898071234,0.0,100.0,0.0
0.5,0,0.0,1.5753641449035616,1.5753641449035616,100.0,3.150728289807123,3.150728289807123,0.0,100.0,0.0
0.5,0,0.25,1.3253641449035616,1.3253641449035616,100.0,2.650728289807123,2.650728289807123,0.0,100.0,0.0
0.5,0,0.5,1.0753641449035616,1.0753641449035616,100.0,2.150728289807123,2.150728289807123,0.0,100.0,0.0
0.5,0,0.75,0.8253641449035617,0.8253641449035617,100.0,1.6507282898071234,1.6507282898071234,0.0,100.0,0.0
0.5,0,1.0,0.5753641449035617,0.5753641449035617,100.0,1.1507282898071234,1.1507282898071234,0.0,100.0,0.0
0.5,1,0.0,-0.4246358550964383,3.5753641449035616,98.0,3.150728289807123,3.150728289807123,0.0,98.0,0.0
0.5,1,0.25,-0.1746358550964383,2.8253641449035616,98.5,2.650728289807123,2.650728289807123,0.0,98.5,0.0
